IP,total_events,unique_event_ids,avg_msg_length,first_ts,last_ts,duration_sec,anomaly,anomaly_score
1.237.174.253,3,1,44.0,2023-12-10 10:19:59,2023-12-10 10:50:37,1838.0,1,0.11083961663815045
103.207.39.16,12,7,74.66666666666667,2023-12-10 09:18:27,2023-12-10 09:18:35,8.0,1,0.227261468456934
103.207.39.165,5,5,71.4,2023-12-10 07:56:13,2023-12-10 07:56:15,2.0,1,0.24738728013503025
103.207.39.212,12,7,75.66666666666667,2023-12-10 08:33:23,2023-12-10 08:33:31,8.0,1,0.227261468456934
103.99.0.122,172,6,81.04069767441861,2023-12-10 09:11:20,2023-12-10 11:04:45,6805.0,-1,-0.02058694907966374
104.192.3.34,7,7,68.85714285714286,2023-12-10 09:31:22,2023-12-10 09:31:34,12.0,1,0.22518195141953945
106.5.5.195,4,4,88.5,2023-12-10 08:39:47,2023-12-10 08:39:59,12.0,1,0.2669170562076371
112.95.230.3,80,6,75.475,2023-12-10 07:27:50,2023-12-10 07:28:51,61.0,1,0.15699849795430715
119.137.62.142,2,2,63.5,2023-12-10 09:32:20,2023-12-10 09:45:06,766.0,1,0.14055788748660641
119.4.203.64,9,4,72.55555555555556,2023-12-10 10:13:59,2023-12-10 10:14:13,14.0,1,0.2567861421028488
123.235.32.19,22,4,76.36363636363636,2023-12-10 07:32:24,2023-12-10 07:34:33,129.0,1,0.21687166952767573
173.234.31.186,10,5,76.6,2023-12-10 06:55:46,2023-12-10 07:08:30,764.0,1,0.20669599462230737
175.102.13.6,4,4,67.5,2023-12-10 08:08:41,2023-12-10 08:08:43,2.0,1,0.26428849666587817
177.79.82.136,1,1,56.0,2023-12-10 07:35:15,2023-12-10 07:35:15,0.0,1,0.16249361810487478
181.214.87.4,4,4,48.5,2023-12-10 09:48:23,2023-12-10 09:48:32,9.0,1,0.26665585477711984
183.136.162.51,8,4,69.5,2023-12-10 07:42:49,2023-12-10 10:32:30,10181.0,1,0.09146111854933792
183.62.140.253,867,6,78.00461361014995,2023-12-10 10:54:27,2023-12-10 11:04:43,616.0,-1,-0.09225291378393641
185.190.58.151,43,8,68.20930232558139,2023-12-10 09:07:23,2023-12-10 09:13:22,359.0,1,0.14387343003047232
187.141.143.180,349,7,90.41833810888252,2023-12-10 09:12:46,2023-12-10 09:20:03,437.0,1,0.03144957701496465
188.132.244.89,1,1,57.0,2023-12-10 09:04:46,2023-12-10 09:04:46,0.0,1,0.16249361810487478
191.210.223.172,4,4,87.75,2023-12-10 07:48:00,2023-12-10 07:48:03,3.0,1,0.26428849666587817
194.190.163.22,4,1,45.0,2023-12-10 07:53:26,2023-12-10 08:33:40,2414.0,1,0.07823517546237135
195.154.37.122,10,8,90.6,2023-12-10 07:51:09,2023-12-10 07:51:20,11.0,1,0.2038618487115576
202.100.179.208,8,4,69.75,2023-12-10 07:11:42,2023-12-10 10:55:10,13408.0,1,0.04910963409870983
212.47.254.145,1,1,45.0,2023-12-10 07:02:47,2023-12-10 07:02:47,0.0,1,0.16249361810487478
5.188.10.180,53,10,64.9622641509434,2023-12-10 08:24:32,2023-12-10 08:26:40,128.0,1,0.08870353476017578
5.36.59.76,4,4,102.5,2023-12-10 07:13:31,2023-12-10 07:13:56,25.0,1,0.2651715351609367
52.80.34.196,15,3,56.266666666666666,2023-12-10 07:07:38,2023-12-10 10:21:09,11611.0,1,0.025161826652922437
60.2.12.12,15,4,73.2,2023-12-10 10:04:52,2023-12-10 10:05:22,30.0,1,0.23588412330796305
88.147.143.242,5,4,61.6,2023-12-10 10:47:18,2023-12-10 11:00:59,821.0,1,0.2151308338883025
